Name,Created on,sample,motion,workedmaterial,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr,Smc,Sxp,Sal,Str,Std,Sdq,Sdr,Vm,Vv,Vmp,Vmc,Vvc,Vvv,Maximum depth of furrows,Mean depth of furrows,Mean density of furrows,First direction,Second direction,Third direction,Isotropy,Lengthscale anisotropy Sfrax epLsar,Lengthscale anisotropy NewEplsar,Fractal complexity Asfc,Scale of max complexity Smfc,HAsfc9,HAsfc81
Lime2-5_LSM_50x075_suf1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,6/24/2020 12:03:05 PM,id2-5,impact,flint,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,8.295880854,128164,0.064728636,0,0.836408408,0.997158377,8.633120512,4.802994219,3.492886635,8.295880854,0.572234626,0.464344143,0.774885511,1.534626251,13.52616606,0.370850917,149.2416219,0.328254639,4.361419229,0.086562029,0.861449344,0.086562029,0.528306252,0.76911452,0.092334824,4.563271717,0.961914393,4523.097719,149.7048751,179.9899148,141.2560986,23.49941832,*****,*****,8.658466877,1714456.803,0.448547885,0.658919807
Lime2-5_LSM_50x075_suf2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,6/24/2020 12:21:59 PM,id2-5,impact ,flint,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,30.59531095,333950,0.091616442,0,4.619233674,0.107157448,4.476583083,15.01611815,15.5791928,30.59531095,3.244393513,0.49722281,5.691270023,10.60971037,18.8830054,0.415983559,65.00200648,1.152676684,20.01753013,0.337772648,6.029030512,0.337772648,3.111163074,5.33504837,0.693982142,20.62791318,4.629515493,3829.729631,63.57494819,45.03911737,56.21986894,26.2428809,*****,*****,23.18343263,181044282.7,2.49631921,3.446302061
Lime2-5_LSM_50x075_suf3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,6/24/2020 1:26:11 PM,id2-5,impact ,flint,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,14.90489659,130813,0.113940484,0,2.320752267,0.141541304,3.10674306,7.455923479,7.44897311,14.90489659,1.819002473,0.447905303,2.944452212,4.295209606,20.11861344,0.591770371,149.9986128,0.688470016,16.47347138,0.133113516,3.077557166,0.133113516,2.097147451,2.824169953,0.253387214,7.652356874,2.489850524,4508.75589,0.002662499,153.5228069,63.50921214,77.81506998,*****,*****,30.55475897,2711283.314,0.387598237,0.481105449
lime3-3_lsm_50x-0.75_20200914_surf2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,9/14/2020 12:02:32 PM,id3-3,impact ,flint,Surface,X,255.3104403,1024,249.5703229,Y,255.3104403,1024,249.5703229,Z,Topography,48.58365558,193492,0.251088704,0,5.348472621,-0.490774484,5.973946376,22.99922314,25.58443244,48.58365558,3.886970717,0.180242847,5.799267787,11.65428921,18.67538556,0.46823516,50.98960465,1.12616962,31.23040392,0.31333532,6.112601436,0.31333532,3.931647154,5.330010794,0.782590643,25.68491814,5.112154768,2285.773516,90.00026016,45.00658269,51.19214868,33.07103582,0.000493204,0.017686885,37.78536393,11.66802933,0.544405703,0.701153246
lime3-3_lsm_50x-0.75_20200914_surf3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,9/14/2020 1:58:59 PM,id3-3,impact ,flint,Surface,X,255.3104403,1024,249.5703229,Y,255.3104403,1024,249.5703229,Z,Topography,22.98992144,260079,0.088395916,0,3.491194747,0.200965982,3.457306646,11.87714046,11.11278098,22.98992144,2.699112441,0.353888102,4.436093122,6.739688325,22.91987257,0.803116585,123.500009,0.896620186,24.59999635,0.211431715,4.647550564,0.211431715,3.14590442,4.303131026,0.344419538,13.88010352,3.932004973,2201.349378,90.0116344,135.0061538,123.7196794,73.8272012,0.00121782,0.017200469,44.1065167,15.16765676,0.254338672,0.48703139
Lime3-8_LSM_50x075_surface1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,03/10/2020 11:06,id3-8,impact,bone,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,13.9657832,181249,0.077053022,0,1.536574267,-0.725310901,5.221294491,5.531097085,8.434686117,13.9657832,1.180775473,0.142759527,1.802947784,3.320069663,17.5668163,0.749165603,170.0025377,0.516771762,11.20305313,0.058352698,1.86130113,0.058352698,1.30926805,1.649953264,0.211347866,7.610449939,1.958376011,4195.710904,0.020070247,90.01104135,45.01015402,81.21074733,*****,*****,18.78414943,3972359.357,0.189813625,0.269237225
Lime3-8_LSM_50x075_surface2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,03/10/2020 11:55,id3-8,impact,bone,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,10.30891197,180484,0.057118149,0,1.303417043,-1.296165697,6.843276361,3.352778216,6.95613375,10.30891197,0.922462624,2.172976213,1.335446163,3.425504125,19.64499842,0.724356224,176.9901586,0.407624299,6.659131499,0.058973489,1.394422701,0.058973489,0.939844581,1.157362488,0.237060214,6.92651799,1.404072763,4507.521374,45.00958119,179.9985737,26.49268323,68.14213008,*****,*****,10.81129363,1997450.375,0.19771226,0.358024111
Lime3-8_LSM_50x075_surface3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,9/14/2020 10:17:46 AM,id3-8,impact,bone,Surface,X,255.3104403,1024,249.5703229,Y,255.3104403,1024,249.5703229,Z,Topography,20.81977009,428496,0.048588015,0,2.975370515,-0.519046449,3.749219086,9.714153258,11.10561683,20.81977009,2.321323276,0.40484686,3.214023803,7.132126501,19.67340839,0.697946441,94.00670243,0.76231811,21.27317823,0.130334912,3.344379909,0.130334912,2.621230175,2.901526554,0.442853356,12.50299195,3.41659008,2298.09038,0.00811389,134.9941071,90.00976872,81.12494954,0.00059539,0.017771289,34.09615719,18.46542156,0.241832356,0.412347633
Lime3-9_LSM_50x075_suf1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,6/24/2020 2:04:50 PM,id3-9,impact,bone,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,23.44554261,295597,0.079315902,0,3.33946375,0.383870253,4.023592952,13.35830486,10.08723775,23.44554261,2.548430005,0.144427271,4.106040836,6.420267269,25.29144863,0.85096186,39.25552925,0.759832199,18.82343151,0.224687011,4.330728271,0.224687011,2.714238694,3.972964299,0.357763972,8.684060136,3.670849939,4491.869884,89.99971453,134.9945589,44.98015165,82.28717667,*****,*****,28.14293842,3158816.171,0.299037679,0.615011337
Lime3-9_LSM_50x075_suf2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ,6/24/2020 2:22:16 PM,id3-9,impact,bone,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,15.0026992,219525,0.068341643,0,2.114109459,0.534013919,4.361333514,9.032099894,5.970599308,15.0026992,1.597335995,0.36378655,2.644771843,3.958187744,21.26444168,0.300073299,39.49653704,0.677213638,16.76829269,0.148471932,2.793244716,0.148471932,1.651413073,2.56916178,0.224082936,7.200215819,2.434427041,4865.989576,44.99709595,89.98940627,0.004873273,68.97337386,*****,*****,34.74312309,1997450.375,0.334423945,0.517515021
